2023-11-24 15:24:30 [INFO ] total_steps: 21, episode reward: [1.427495760683591], time_used: 0
2023-11-24 15:24:31 [INFO ] total_steps: 51, episode reward: [2.759653227487834], time_used: 0
2023-11-24 15:24:31 [INFO ] total_steps: 64, episode reward: [1.7355673268340284], time_used: 0
2023-11-24 15:24:31 [INFO ] total_steps: 94, episode reward: [3.011095457925053], time_used: 1
2023-11-24 15:24:32 [INFO ] total_steps: 102, episode reward: [1.2485158876488707], time_used: 1
2023-11-24 15:24:32 [INFO ] total_steps: 132, episode reward: [4.346369628510394], time_used: 1
2023-11-24 15:24:32 [INFO ] total_steps: 144, episode reward: [2.356569196793979], time_used: 1
2023-11-24 15:24:32 [INFO ] total_steps: 174, episode reward: [0.0], time_used: 2
2023-11-24 15:24:33 [INFO ] total_steps: 204, episode reward: [1.003088841924296], time_used: 2
2023-11-24 15:24:33 [INFO ] total_steps: 234, episode reward: [0.0], time_used: 3
2023-11-24 15:24:34 [INFO ] total_steps: 264, episode reward: [0.43063051675689307], time_used: 3
2023-11-24 15:24:34 [INFO ] total_steps: 294, episode reward: [2.6688280651183924], time_used: 4
2023-11-24 15:24:35 [INFO ] total_steps: 324, episode reward: [4.001705747733274], time_used: 4
2023-11-24 15:24:35 [INFO ] total_steps: 354, episode reward: [2.101473333824294], time_used: 4
2023-11-24 15:24:35 [INFO ] total_steps: 384, episode reward: [0.3900280444229399], time_used: 5
2023-11-24 15:24:36 [INFO ] total_steps: 414, episode reward: [0.0], time_used: 5
2023-11-24 15:24:36 [INFO ] total_steps: 444, episode reward: [2.754349356301886], time_used: 6
2023-11-24 15:24:37 [INFO ] total_steps: 474, episode reward: [0.42860162994343576], time_used: 6
2023-11-24 15:24:37 [INFO ] total_steps: 504, episode reward: [0.9625142467651708], time_used: 6
2023-11-24 15:24:37 [INFO ] total_steps: 534, episode reward: [2.271932649764688], time_used: 7
2023-11-24 15:24:38 [INFO ] total_steps: 564, episode reward: [0.903351155805371], time_used: 7
2023-11-24 15:24:38 [INFO ] total_steps: 594, episode reward: [0.0], time_used: 8
2023-11-24 15:24:39 [INFO ] total_steps: 624, episode reward: [3.5778502913199515], time_used: 8
2023-11-24 15:24:39 [INFO ] total_steps: 654, episode reward: [0.545219379713329], time_used: 8
2023-11-24 15:24:39 [INFO ] total_steps: 684, episode reward: [2.61753816456074], time_used: 9
2023-11-24 15:24:40 [INFO ] total_steps: 714, episode reward: [4.938551342140131], time_used: 9
2023-11-24 15:24:40 [INFO ] total_steps: 744, episode reward: [4.805328684859998], time_used: 10
2023-11-24 15:24:41 [INFO ] total_steps: 774, episode reward: [1.5992312555307626], time_used: 10
2023-11-24 15:24:41 [INFO ] total_steps: 780, episode reward: [0.42529442004108187], time_used: 10
2023-11-24 15:24:41 [INFO ] total_steps: 810, episode reward: [4.412442569566301], time_used: 11
2023-11-24 15:24:42 [INFO ] total_steps: 840, episode reward: [1.9295027172750099], time_used: 11
2023-11-24 15:24:42 [INFO ] total_steps: 870, episode reward: [7.15059604485665], time_used: 11
2023-11-24 15:24:42 [INFO ] total_steps: 900, episode reward: [5.0738862634861555], time_used: 12
2023-11-24 15:24:43 [INFO ] total_steps: 930, episode reward: [0.4170980841487754], time_used: 12
2023-11-24 15:24:43 [INFO ] total_steps: 960, episode reward: [3.978373772385193], time_used: 13
