2023-11-24 15:42:32 [INFO ] env=racetrack-v0
2023-11-24 15:42:32 [INFO ] state_dim=968
2023-11-24 15:42:32 [INFO ] action_dim=1
2023-11-24 15:42:32 [INFO ] max_action=1.0
2023-11-24 15:42:33 [INFO ] total_steps: 30, episode reward: [2.266946844390926], time_used: 0
2023-11-24 15:42:33 [INFO ] total_steps: 60, episode reward: [2.383891015295359], time_used: 0
2023-11-24 15:42:34 [INFO ] total_steps: 90, episode reward: [1.5289082705034878], time_used: 1
2023-11-24 15:42:34 [INFO ] total_steps: 120, episode reward: [0.0], time_used: 1
2023-11-24 15:42:34 [INFO ] total_steps: 150, episode reward: [3.9382098229471025], time_used: 2
2023-11-24 15:42:35 [INFO ] total_steps: 180, episode reward: [2.385931332630875], time_used: 2
2023-11-24 15:42:35 [INFO ] total_steps: 210, episode reward: [3.472331175374455], time_used: 2
2023-11-24 15:42:36 [INFO ] total_steps: 240, episode reward: [7.629772047986311], time_used: 3
2023-11-24 15:42:36 [INFO ] total_steps: 270, episode reward: [1.9491174788049839], time_used: 3
2023-11-24 15:42:37 [INFO ] total_steps: 300, episode reward: [0.583396846017686], time_used: 4
2023-11-24 15:42:37 [INFO ] total_steps: 330, episode reward: [4.514232668426093], time_used: 4
2023-11-24 15:42:37 [INFO ] total_steps: 360, episode reward: [3.054171657301647], time_used: 4
2023-11-24 15:42:38 [INFO ] total_steps: 390, episode reward: [2.1005280280203804], time_used: 5
2023-11-24 15:42:38 [INFO ] total_steps: 420, episode reward: [0.5410239053634098], time_used: 5
2023-11-24 15:42:39 [INFO ] total_steps: 450, episode reward: [4.66456617726145], time_used: 6
2023-11-24 15:42:39 [INFO ] total_steps: 480, episode reward: [1.2776698410221579], time_used: 6
2023-11-24 15:42:39 [INFO ] total_steps: 510, episode reward: [0.5373739368988328], time_used: 6
2023-11-24 15:42:40 [INFO ] total_steps: 540, episode reward: [2.979515440738544], time_used: 7
2023-11-24 15:42:40 [INFO ] total_steps: 570, episode reward: [2.523977527573845], time_used: 7
2023-11-24 15:42:41 [INFO ] total_steps: 599, episode reward: [3.4710071850045257], time_used: 8
2023-11-24 15:42:41 [INFO ] total_steps: 629, episode reward: [5.531965118293126], time_used: 8
2023-11-24 15:42:41 [INFO ] total_steps: 659, episode reward: [1.353589563067096], time_used: 8
2023-11-24 15:42:42 [INFO ] total_steps: 689, episode reward: [0.0], time_used: 9
2023-11-24 15:42:42 [INFO ] total_steps: 719, episode reward: [4.338120956154898], time_used: 9
2023-11-24 15:42:43 [INFO ] total_steps: 749, episode reward: [2.021456469703779], time_used: 10
2023-11-24 15:42:43 [INFO ] total_steps: 763, episode reward: [0.5634623612130774], time_used: 10
2023-11-24 15:42:43 [INFO ] total_steps: 793, episode reward: [1.4437362279608958], time_used: 10
2023-11-24 15:42:44 [INFO ] total_steps: 823, episode reward: [3.224234144895761], time_used: 11
2023-11-24 15:42:44 [INFO ] total_steps: 853, episode reward: [0.0], time_used: 11
2023-11-24 15:42:45 [INFO ] total_steps: 883, episode reward: [3.4003061989690995], time_used: 12
2023-11-24 15:42:45 [INFO ] total_steps: 890, episode reward: [2.261961928101018], time_used: 12
2023-11-24 15:42:45 [INFO ] total_steps: 920, episode reward: [0.9304833012267226], time_used: 12
2023-11-24 15:42:46 [INFO ] total_steps: 950, episode reward: [1.01957534992186], time_used: 13
2023-11-24 15:42:46 [INFO ] total_steps: 980, episode reward: [1.3188079472770258], time_used: 13
2023-11-24 15:42:46 [INFO ] total_steps: 1010, episode reward: [0.5272496015469079], time_used: 13
2023-11-24 15:42:47 [INFO ] total_steps: 1040, episode reward: [3.548574389372905], time_used: 14
2023-11-24 15:42:47 [INFO ] total_steps: 1070, episode reward: [2.3810345203774634], time_used: 14
2023-11-24 15:42:47 [INFO ] total_steps: 1081, episode reward: [1.8246597815184251], time_used: 14
2023-11-24 15:42:48 [INFO ] total_steps: 1111, episode reward: [1.3713927429613857], time_used: 15
2023-11-24 15:42:48 [INFO ] total_steps: 1141, episode reward: [5.708377776083577], time_used: 15
2023-11-24 15:42:49 [INFO ] total_steps: 1171, episode reward: [1.900074161162242], time_used: 16
2023-11-24 15:42:49 [INFO ] total_steps: 1201, episode reward: [0.4577950233562222], time_used: 16
2023-11-24 15:42:49 [INFO ] total_steps: 1215, episode reward: [2.074928172936419], time_used: 16
2023-11-24 15:42:49 [INFO ] total_steps: 1232, episode reward: [1.3495878737092242], time_used: 16
2023-11-24 15:42:50 [INFO ] total_steps: 1262, episode reward: [0.0], time_used: 17
2023-11-24 15:42:50 [INFO ] total_steps: 1292, episode reward: [3.717305877193179], time_used: 17
2023-11-24 15:42:51 [INFO ] total_steps: 1322, episode reward: [0.9932268775002797], time_used: 18
2023-11-24 15:42:51 [INFO ] total_steps: 1352, episode reward: [0.0], time_used: 18
2023-11-24 15:42:51 [INFO ] total_steps: 1382, episode reward: [2.6256053727244892], time_used: 19
2023-11-24 15:42:52 [INFO ] total_steps: 1412, episode reward: [1.5868778265215826], time_used: 19
2023-11-24 15:42:52 [INFO ] total_steps: 1442, episode reward: [2.58698765513939], time_used: 19
2023-11-24 15:42:53 [INFO ] total_steps: 1472, episode reward: [2.344205314430918], time_used: 20
2023-11-24 15:42:53 [INFO ] total_steps: 1502, episode reward: [0.42015182199645973], time_used: 20
2023-11-24 15:42:53 [INFO ] total_steps: 1532, episode reward: [3.0952816859647405], time_used: 21
2023-11-24 15:42:54 [INFO ] total_steps: 1562, episode reward: [2.8538801955155657], time_used: 21
2023-11-24 15:42:54 [INFO ] total_steps: 1592, episode reward: [5.483777523286486], time_used: 21
2023-11-24 15:42:55 [INFO ] total_steps: 1622, episode reward: [3.4911212258598656], time_used: 22
2023-11-24 15:42:55 [INFO ] total_steps: 1652, episode reward: [2.3809619076062796], time_used: 22
2023-11-24 15:42:56 [INFO ] total_steps: 1682, episode reward: [0.7692833054615871], time_used: 23
2023-11-24 15:42:56 [INFO ] total_steps: 1712, episode reward: [0.4887401047766808], time_used: 23
2023-11-24 15:42:56 [INFO ] total_steps: 1742, episode reward: [3.9192906065652315], time_used: 23
2023-11-24 15:42:57 [INFO ] total_steps: 1772, episode reward: [3.4227409806526667], time_used: 24
2023-11-24 15:42:57 [INFO ] total_steps: 1802, episode reward: [0.0], time_used: 24
2023-11-24 15:42:58 [INFO ] total_steps: 1832, episode reward: [4.71722004647498], time_used: 25
2023-11-24 15:42:58 [INFO ] total_steps: 1862, episode reward: [0.41578273402795113], time_used: 25
2023-11-24 15:42:58 [INFO ] total_steps: 1892, episode reward: [3.948523167660454], time_used: 25
2023-11-24 15:42:59 [INFO ] total_steps: 1922, episode reward: [0.5414468967854005], time_used: 26
2023-11-24 15:42:59 [INFO ] total_steps: 1952, episode reward: [5.660022682160477], time_used: 26
2023-11-24 15:43:00 [INFO ] total_steps: 1982, episode reward: [1.515074915105368], time_used: 27
2023-11-24 15:43:00 [INFO ] total_steps: 2012, episode reward: [5.656867189859043], time_used: 27
2023-11-24 15:43:00 [INFO ] total_steps: 2025, episode reward: [1.6735911421460592], time_used: 27
2023-11-24 15:43:00 [INFO ] total_steps: 2032, episode reward: [0.4916973851946862], time_used: 27
