obs_shape, torch.Size([2048, 1, 968])
global_step=30, episodic_return=[5.998244]
global_step=60, episodic_return=[2.3948393]
global_step=90, episodic_return=[2.366734]
global_step=120, episodic_return=[2.7513797]
global_step=150, episodic_return=[3.165689]
global_step=179, episodic_return=[3.5943754]
global_step=209, episodic_return=[0.]
global_step=239, episodic_return=[0.]
global_step=269, episodic_return=[2.8007722]
global_step=299, episodic_return=[6.7193213]
global_step=329, episodic_return=[4.2584705]
global_step=359, episodic_return=[4.0705423]
global_step=389, episodic_return=[0.]
global_step=419, episodic_return=[0.]
global_step=449, episodic_return=[4.733233]
global_step=479, episodic_return=[1.815042]
global_step=509, episodic_return=[2.0566125]
global_step=539, episodic_return=[6.1892548]
global_step=569, episodic_return=[4.54503]
global_step=599, episodic_return=[3.7285712]
global_step=629, episodic_return=[3.6112673]
global_step=659, episodic_return=[0.]
global_step=689, episodic_return=[7.4019]
global_step=719, episodic_return=[1.3771002]
global_step=749, episodic_return=[1.8746438]
global_step=779, episodic_return=[4.5892735]
global_step=809, episodic_return=[4.3510737]
global_step=839, episodic_return=[3.6033757]
global_step=869, episodic_return=[2.9838219]
global_step=899, episodic_return=[0.36981112]
global_step=929, episodic_return=[0.45322186]
global_step=959, episodic_return=[2.3255844]
global_step=989, episodic_return=[8.308491]
global_step=1019, episodic_return=[2.19308]
global_step=1049, episodic_return=[3.6493974]
global_step=1079, episodic_return=[2.39829]
global_step=1109, episodic_return=[6.1795897]
global_step=1139, episodic_return=[4.8473597]
global_step=1169, episodic_return=[2.7679596]
global_step=1199, episodic_return=[0.]
global_step=1229, episodic_return=[0.94429666]
global_step=1259, episodic_return=[0.6092243]
global_step=1289, episodic_return=[0.]
global_step=1319, episodic_return=[3.9406075]
global_step=1349, episodic_return=[5.8652062]
global_step=1379, episodic_return=[0.55248696]
global_step=1409, episodic_return=[5.505299]
global_step=1439, episodic_return=[0.]
global_step=1469, episodic_return=[0.]
global_step=1499, episodic_return=[0.46889746]
global_step=1529, episodic_return=[0.]
global_step=1559, episodic_return=[1.6262361]
global_step=1589, episodic_return=[1.0522828]
global_step=1619, episodic_return=[7.878838]
global_step=1649, episodic_return=[2.675846]
global_step=1679, episodic_return=[2.4706109]
global_step=1709, episodic_return=[3.1485994]
global_step=1719, episodic_return=[2.3255787]
global_step=1749, episodic_return=[0.]
global_step=1779, episodic_return=[2.4605274]
global_step=1809, episodic_return=[1.4813253]
global_step=1839, episodic_return=[0.50100976]
global_step=1869, episodic_return=[0.]
global_step=1899, episodic_return=[1.7938681]
global_step=1929, episodic_return=[4.6789746]
global_step=1959, episodic_return=[0.99420655]
global_step=1989, episodic_return=[3.7211096]
global_step=2019, episodic_return=[2.8404992]
SPS: 19
global_step=2049, episodic_return=[0.5422816]
global_step=2079, episodic_return=[3.1434567]
global_step=2109, episodic_return=[1.6272802]
global_step=2139, episodic_return=[1.3577933]
global_step=2169, episodic_return=[1.2270447]
global_step=2199, episodic_return=[3.6930454]
global_step=2229, episodic_return=[2.0886402]
global_step=2259, episodic_return=[6.8980837]
global_step=2289, episodic_return=[0.456057]
global_step=2319, episodic_return=[0.]
global_step=2349, episodic_return=[1.5771351]
global_step=2379, episodic_return=[6.174708]
global_step=2409, episodic_return=[3.7503035]
global_step=2439, episodic_return=[1.1494104]
global_step=2455, episodic_return=[1.9069816]
global_step=2485, episodic_return=[0.]
global_step=2515, episodic_return=[6.0390677]
global_step=2545, episodic_return=[5.484244]
global_step=2575, episodic_return=[2.464334]
global_step=2605, episodic_return=[2.5680084]
global_step=2635, episodic_return=[6.2082725]
global_step=2665, episodic_return=[1.8853642]
global_step=2695, episodic_return=[0.]
global_step=2725, episodic_return=[2.7912366]
global_step=2755, episodic_return=[2.9726772]
global_step=2785, episodic_return=[1.6334245]
global_step=2815, episodic_return=[0.]
global_step=2845, episodic_return=[6.701799]
global_step=2875, episodic_return=[3.306026]
global_step=2905, episodic_return=[3.1420734]
global_step=2935, episodic_return=[1.12557]
global_step=2965, episodic_return=[3.2371116]
global_step=2995, episodic_return=[1.824697]
global_step=3025, episodic_return=[1.3479853]
global_step=3055, episodic_return=[2.4392118]
global_step=3066, episodic_return=[2.9401138]
global_step=3096, episodic_return=[2.4595666]
global_step=3126, episodic_return=[1.980413]
global_step=3156, episodic_return=[3.3229938]
global_step=3173, episodic_return=[4.793143]
global_step=3203, episodic_return=[2.3339815]
global_step=3233, episodic_return=[3.1613133]
global_step=3263, episodic_return=[3.615737]
global_step=3293, episodic_return=[5.033061]
global_step=3323, episodic_return=[1.8811135]
global_step=3340, episodic_return=[0.9423003]
global_step=3370, episodic_return=[1.9824576]
global_step=3400, episodic_return=[5.240994]
global_step=3430, episodic_return=[0.]
global_step=3460, episodic_return=[0.4103281]
global_step=3490, episodic_return=[6.817067]
global_step=3520, episodic_return=[4.4599023]
global_step=3550, episodic_return=[2.3226845]
global_step=3580, episodic_return=[5.03558]
global_step=3610, episodic_return=[0.5983165]
global_step=3640, episodic_return=[1.8451028]
global_step=3670, episodic_return=[1.3970615]
global_step=3700, episodic_return=[0.]
global_step=3730, episodic_return=[0.58547956]
global_step=3760, episodic_return=[3.436316]
global_step=3790, episodic_return=[6.470089]
global_step=3820, episodic_return=[4.5784483]
global_step=3850, episodic_return=[5.7812214]
global_step=3880, episodic_return=[3.5653732]
global_step=3910, episodic_return=[2.096141]
global_step=3940, episodic_return=[8.288174]
global_step=3970, episodic_return=[1.624913]
global_step=4000, episodic_return=[0.]
global_step=4030, episodic_return=[2.512685]
global_step=4060, episodic_return=[0.]
global_step=4090, episodic_return=[5.2584367]
SPS: 20
global_step=4120, episodic_return=[4.7987547]
global_step=4150, episodic_return=[7.7080364]
global_step=4180, episodic_return=[0.44402763]
global_step=4210, episodic_return=[3.2731924]
global_step=4240, episodic_return=[2.4627223]
global_step=4270, episodic_return=[4.4489946]
global_step=4300, episodic_return=[2.8810062]
global_step=4313, episodic_return=[1.7215015]
global_step=4343, episodic_return=[5.0552464]
global_step=4373, episodic_return=[2.6968393]
global_step=4403, episodic_return=[0.80584455]
global_step=4433, episodic_return=[8.240541]
global_step=4463, episodic_return=[3.1164818]
global_step=4493, episodic_return=[8.076438]
global_step=4523, episodic_return=[3.248389]
global_step=4553, episodic_return=[3.7699606]
global_step=4583, episodic_return=[1.783004]
global_step=4594, episodic_return=[1.1572615]
global_step=4603, episodic_return=[1.7051796]
global_step=4633, episodic_return=[3.8029947]
global_step=4663, episodic_return=[2.2967708]
global_step=4693, episodic_return=[2.2236695]
global_step=4723, episodic_return=[5.5426235]
global_step=4753, episodic_return=[0.]
global_step=4783, episodic_return=[0.]
global_step=4813, episodic_return=[4.857148]
global_step=4843, episodic_return=[4.414639]
global_step=4851, episodic_return=[1.1433152]
global_step=4881, episodic_return=[1.9314978]
global_step=4911, episodic_return=[2.4121757]
global_step=4941, episodic_return=[4.744507]
global_step=4958, episodic_return=[3.2706566]
global_step=4988, episodic_return=[0.9881128]
global_step=5018, episodic_return=[1.5687593]
global_step=5048, episodic_return=[4.3894944]
global_step=5078, episodic_return=[4.5823026]
global_step=5108, episodic_return=[0.38425902]
global_step=5138, episodic_return=[1.1384523]
global_step=5168, episodic_return=[5.490819]
global_step=5180, episodic_return=[2.4158795]
global_step=5210, episodic_return=[0.91502094]
global_step=5240, episodic_return=[0.48692203]
global_step=5270, episodic_return=[0.5542311]
global_step=5300, episodic_return=[5.2511396]
global_step=5306, episodic_return=[-0.04363731]
global_step=5336, episodic_return=[4.974987]
global_step=5366, episodic_return=[0.]
global_step=5396, episodic_return=[3.406534]
global_step=5426, episodic_return=[1.1378407]
global_step=5456, episodic_return=[4.588952]
global_step=5486, episodic_return=[4.326691]
global_step=5516, episodic_return=[3.5481143]
global_step=5546, episodic_return=[6.9792137]
global_step=5576, episodic_return=[5.480363]
global_step=5606, episodic_return=[2.0592618]
global_step=5636, episodic_return=[1.544882]
global_step=5666, episodic_return=[1.9716458]
global_step=5696, episodic_return=[1.880764]
global_step=5726, episodic_return=[4.7542872]
global_step=5756, episodic_return=[0.]
global_step=5786, episodic_return=[0.]
global_step=5816, episodic_return=[3.9483018]
global_step=5846, episodic_return=[1.6086316]
global_step=5876, episodic_return=[2.9162822]
global_step=5906, episodic_return=[0.]
global_step=5936, episodic_return=[5.639981]
global_step=5966, episodic_return=[4.6055326]
global_step=5996, episodic_return=[1.6228092]
global_step=6026, episodic_return=[5.913598]
global_step=6056, episodic_return=[1.4705616]
global_step=6064, episodic_return=[0.7505665]
global_step=6094, episodic_return=[3.276367]
global_step=6124, episodic_return=[9.694294]
SPS: 20
global_step=6154, episodic_return=[6.3011646]
global_step=6184, episodic_return=[1.0144123]
global_step=6191, episodic_return=[0.2829248]
global_step=6221, episodic_return=[5.7815504]
global_step=6231, episodic_return=[2.9489858]
global_step=6261, episodic_return=[3.1685748]
global_step=6291, episodic_return=[3.649022]
global_step=6321, episodic_return=[4.8418365]
global_step=6351, episodic_return=[3.24362]
global_step=6381, episodic_return=[2.7731938]
global_step=6411, episodic_return=[2.2042139]
global_step=6438, episodic_return=[3.287414]
global_step=6468, episodic_return=[2.1745038]
global_step=6484, episodic_return=[3.2226534]
global_step=6514, episodic_return=[1.7117296]
global_step=6544, episodic_return=[5.3581653]
global_step=6574, episodic_return=[2.8638215]
global_step=6604, episodic_return=[0.]
global_step=6634, episodic_return=[7.4837656]
global_step=6664, episodic_return=[3.0649931]
global_step=6694, episodic_return=[2.8387442]
global_step=6724, episodic_return=[4.9170465]
global_step=6754, episodic_return=[1.9864653]
global_step=6782, episodic_return=[6.7459736]
global_step=6812, episodic_return=[5.832918]
global_step=6842, episodic_return=[3.122051]
global_step=6872, episodic_return=[3.0407493]
global_step=6902, episodic_return=[2.9372911]
global_step=6932, episodic_return=[5.285735]
global_step=6962, episodic_return=[5.736952]
global_step=6979, episodic_return=[2.9394982]
global_step=7009, episodic_return=[2.8965085]
global_step=7039, episodic_return=[2.6786485]
global_step=7069, episodic_return=[4.496568]
global_step=7099, episodic_return=[3.8336868]
global_step=7129, episodic_return=[4.604117]
global_step=7159, episodic_return=[5.662325]
global_step=7189, episodic_return=[3.3592296]
global_step=7219, episodic_return=[1.4009829]
global_step=7249, episodic_return=[3.9100711]
global_step=7279, episodic_return=[6.5295353]
global_step=7309, episodic_return=[0.5106567]
global_step=7339, episodic_return=[4.8351064]
global_step=7347, episodic_return=[1.2817123]
global_step=7377, episodic_return=[6.279039]
global_step=7407, episodic_return=[2.4103067]
global_step=7437, episodic_return=[3.215302]
global_step=7467, episodic_return=[5.2131696]
global_step=7497, episodic_return=[6.713962]
global_step=7527, episodic_return=[4.3003764]
global_step=7557, episodic_return=[2.131903]
global_step=7568, episodic_return=[1.3300964]
global_step=7598, episodic_return=[2.48467]
global_step=7628, episodic_return=[5.9704075]
global_step=7637, episodic_return=[1.5221919]
global_step=7667, episodic_return=[4.7925344]
global_step=7697, episodic_return=[9.704571]
global_step=7725, episodic_return=[7.022243]
global_step=7755, episodic_return=[4.0500417]
global_step=7785, episodic_return=[0.37428042]
global_step=7798, episodic_return=[0.7989991]
global_step=7828, episodic_return=[1.3657458]
global_step=7858, episodic_return=[2.1941028]
global_step=7888, episodic_return=[6.8475266]
global_step=7918, episodic_return=[3.7191784]
global_step=7932, episodic_return=[1.8864886]
global_step=7962, episodic_return=[1.7161375]
global_step=7992, episodic_return=[1.8841224]
global_step=8022, episodic_return=[1.3901169]
global_step=8052, episodic_return=[2.3027673]
global_step=8082, episodic_return=[2.945112]
global_step=8112, episodic_return=[0.9857348]
global_step=8142, episodic_return=[2.5401247]
global_step=8172, episodic_return=[3.827108]
SPS: 20
global_step=8202, episodic_return=[1.1343039]
global_step=8232, episodic_return=[3.6427178]
global_step=8261, episodic_return=[4.1396384]
global_step=8291, episodic_return=[1.0152816]
global_step=8321, episodic_return=[3.3408544]
global_step=8351, episodic_return=[0.45440456]
global_step=8381, episodic_return=[0.88068]
global_step=8411, episodic_return=[2.1472144]
global_step=8441, episodic_return=[3.2696154]
global_step=8471, episodic_return=[3.9250054]
global_step=8501, episodic_return=[3.800849]
global_step=8531, episodic_return=[2.4113688]
global_step=8561, episodic_return=[3.5891128]
global_step=8591, episodic_return=[5.970041]
global_step=8603, episodic_return=[1.9563205]
global_step=8633, episodic_return=[2.1643548]
global_step=8663, episodic_return=[4.2747355]
global_step=8693, episodic_return=[3.1657796]
global_step=8723, episodic_return=[1.1939007]
global_step=8753, episodic_return=[4.519303]
global_step=8783, episodic_return=[2.3678446]
global_step=8813, episodic_return=[4.3548675]
global_step=8843, episodic_return=[2.9127026]
global_step=8873, episodic_return=[4.312637]
global_step=8903, episodic_return=[1.6856251]
global_step=8933, episodic_return=[3.3615553]
global_step=8963, episodic_return=[3.4426622]
global_step=8993, episodic_return=[3.691609]
global_step=9023, episodic_return=[2.1357827]
global_step=9053, episodic_return=[7.4660835]
global_step=9083, episodic_return=[3.4631174]
global_step=9113, episodic_return=[1.0142305]
global_step=9143, episodic_return=[2.953041]
global_step=9173, episodic_return=[4.9185004]
global_step=9188, episodic_return=[1.5824219]
global_step=9218, episodic_return=[6.3137035]
global_step=9232, episodic_return=[1.7133522]
global_step=9247, episodic_return=[4.0680127]
global_step=9277, episodic_return=[2.9411316]
global_step=9307, episodic_return=[2.7199988]
global_step=9337, episodic_return=[1.1290982]
global_step=9367, episodic_return=[3.6309237]
global_step=9397, episodic_return=[2.9481657]
global_step=9427, episodic_return=[3.9948664]
global_step=9457, episodic_return=[5.99711]
global_step=9487, episodic_return=[4.6212645]
global_step=9517, episodic_return=[1.7035275]
global_step=9547, episodic_return=[7.750921]
global_step=9550, episodic_return=[0.9752583]
global_step=9580, episodic_return=[1.0049992]
global_step=9610, episodic_return=[5.9753914]
global_step=9623, episodic_return=[2.6078722]
global_step=9653, episodic_return=[6.2881956]
global_step=9683, episodic_return=[4.8514776]
global_step=9700, episodic_return=[1.7763492]
global_step=9730, episodic_return=[0.85935724]
global_step=9760, episodic_return=[6.3837423]
global_step=9790, episodic_return=[3.1711144]
global_step=9820, episodic_return=[0.39336586]
global_step=9850, episodic_return=[4.386727]
global_step=9880, episodic_return=[0.39441156]
global_step=9910, episodic_return=[1.3568634]
global_step=9940, episodic_return=[5.265894]
global_step=9970, episodic_return=[5.244776]
global_step=9996, episodic_return=[6.540718]
global_step=10026, episodic_return=[0.]
global_step=10044, episodic_return=[2.9734364]
global_step=10074, episodic_return=[1.6263107]
global_step=10104, episodic_return=[8.807385]
global_step=10123, episodic_return=[5.796509]
global_step=10153, episodic_return=[3.381948]
global_step=10183, episodic_return=[5.410193]
global_step=10213, episodic_return=[3.8231916]
SPS: 20
global_step=10243, episodic_return=[6.8654785]
global_step=10273, episodic_return=[6.7194705]
global_step=10303, episodic_return=[6.7498627]
global_step=10333, episodic_return=[3.6482513]
global_step=10363, episodic_return=[4.373089]
global_step=10393, episodic_return=[5.233518]
global_step=10423, episodic_return=[3.9792125]
global_step=10453, episodic_return=[5.2890925]
global_step=10483, episodic_return=[5.0062575]
global_step=10513, episodic_return=[3.3087301]
global_step=10543, episodic_return=[4.473713]
global_step=10573, episodic_return=[4.749035]
global_step=10585, episodic_return=[1.9263155]
global_step=10615, episodic_return=[3.040973]
global_step=10645, episodic_return=[4.539178]
global_step=10675, episodic_return=[4.9231005]
global_step=10705, episodic_return=[4.332156]
global_step=10735, episodic_return=[2.281193]
global_step=10765, episodic_return=[3.75311]
global_step=10795, episodic_return=[2.4460402]
global_step=10825, episodic_return=[2.8244855]
global_step=10855, episodic_return=[2.2036388]
global_step=10885, episodic_return=[3.304712]
global_step=10915, episodic_return=[3.1520853]
global_step=10945, episodic_return=[9.066433]
global_step=10975, episodic_return=[0.]
global_step=11005, episodic_return=[5.3428164]
global_step=11035, episodic_return=[6.3697863]
global_step=11065, episodic_return=[7.0801935]
global_step=11095, episodic_return=[6.4193187]
global_step=11125, episodic_return=[4.4012713]
global_step=11155, episodic_return=[4.9294543]
global_step=11185, episodic_return=[6.4227266]
global_step=11215, episodic_return=[3.7831783]
global_step=11245, episodic_return=[4.4305234]
global_step=11275, episodic_return=[5.996463]
global_step=11291, episodic_return=[2.9141276]
global_step=11321, episodic_return=[2.475385]
global_step=11351, episodic_return=[4.8877544]
global_step=11381, episodic_return=[6.2828827]
global_step=11411, episodic_return=[1.5528514]
global_step=11441, episodic_return=[2.1216843]
global_step=11471, episodic_return=[3.987361]
global_step=11501, episodic_return=[5.940666]
global_step=11513, episodic_return=[3.7707458]
global_step=11543, episodic_return=[0.48692626]
global_step=11573, episodic_return=[7.858032]
global_step=11603, episodic_return=[6.9945426]
global_step=11620, episodic_return=[3.513245]
global_step=11650, episodic_return=[6.778675]
global_step=11680, episodic_return=[5.419921]
global_step=11710, episodic_return=[4.081946]
global_step=11740, episodic_return=[6.2892942]
global_step=11770, episodic_return=[2.6622975]
global_step=11800, episodic_return=[3.3962688]
global_step=11830, episodic_return=[3.461752]
global_step=11860, episodic_return=[3.891164]
global_step=11890, episodic_return=[6.369748]
global_step=11920, episodic_return=[6.212422]
global_step=11950, episodic_return=[8.766926]
global_step=11980, episodic_return=[4.750758]
global_step=11996, episodic_return=[2.7976105]
global_step=12007, episodic_return=[1.3427187]
global_step=12037, episodic_return=[0.3768943]
global_step=12067, episodic_return=[5.4410644]
global_step=12097, episodic_return=[3.8937874]
global_step=12127, episodic_return=[1.0956674]
global_step=12139, episodic_return=[2.2115335]
global_step=12169, episodic_return=[5.23468]
global_step=12199, episodic_return=[4.025238]
global_step=12229, episodic_return=[3.004171]
global_step=12259, episodic_return=[4.9504995]
global_step=12282, episodic_return=[3.5287645]
SPS: 20
global_step=12312, episodic_return=[5.140123]
global_step=12342, episodic_return=[2.8991363]
global_step=12372, episodic_return=[6.5826626]
global_step=12381, episodic_return=[2.048017]
global_step=12405, episodic_return=[4.942871]
global_step=12423, episodic_return=[4.340381]
global_step=12453, episodic_return=[2.931867]
global_step=12483, episodic_return=[0.7170858]
global_step=12513, episodic_return=[1.8603604]
global_step=12543, episodic_return=[1.9090405]
global_step=12573, episodic_return=[3.903319]
global_step=12603, episodic_return=[3.9977527]
global_step=12633, episodic_return=[5.105852]
global_step=12663, episodic_return=[7.356192]
global_step=12693, episodic_return=[0.64766896]
global_step=12723, episodic_return=[6.256344]
global_step=12736, episodic_return=[2.9579797]
global_step=12766, episodic_return=[1.3066759]
global_step=12796, episodic_return=[1.3159752]
global_step=12826, episodic_return=[5.3456926]
global_step=12856, episodic_return=[3.865756]
global_step=12886, episodic_return=[3.963541]
global_step=12903, episodic_return=[2.6385655]
global_step=12933, episodic_return=[5.7864447]
global_step=12963, episodic_return=[2.7756345]
global_step=12993, episodic_return=[6.790397]
global_step=13023, episodic_return=[2.5864549]
global_step=13053, episodic_return=[5.950412]
global_step=13083, episodic_return=[2.7781048]
global_step=13097, episodic_return=[4.677879]
global_step=13127, episodic_return=[2.1003306]
global_step=13157, episodic_return=[3.9146602]
global_step=13187, episodic_return=[4.6312113]
global_step=13217, episodic_return=[4.0476427]
global_step=13247, episodic_return=[3.0547068]
global_step=13277, episodic_return=[7.3499794]
global_step=13307, episodic_return=[3.6539679]
global_step=13337, episodic_return=[6.612672]
global_step=13367, episodic_return=[1.3161622]
global_step=13397, episodic_return=[5.295531]
global_step=13427, episodic_return=[2.5513792]
global_step=13457, episodic_return=[5.5038276]
global_step=13487, episodic_return=[3.2117877]
global_step=13517, episodic_return=[0.89962894]
global_step=13547, episodic_return=[6.662399]
global_step=13570, episodic_return=[3.9521732]
global_step=13600, episodic_return=[6.1698117]
global_step=13630, episodic_return=[4.486465]
global_step=13660, episodic_return=[3.4403079]
global_step=13690, episodic_return=[4.41023]
global_step=13720, episodic_return=[1.5155139]
global_step=13750, episodic_return=[1.7532779]
global_step=13780, episodic_return=[4.182235]
global_step=13810, episodic_return=[3.0448043]
global_step=13840, episodic_return=[1.7831299]
global_step=13870, episodic_return=[3.039931]
global_step=13900, episodic_return=[2.728247]
global_step=13930, episodic_return=[3.0861845]
global_step=13960, episodic_return=[2.4027393]
global_step=13990, episodic_return=[2.5186918]
global_step=14020, episodic_return=[4.5287294]
global_step=14050, episodic_return=[5.4714103]
global_step=14080, episodic_return=[7.366179]
global_step=14110, episodic_return=[4.516134]
global_step=14140, episodic_return=[2.2648354]
global_step=14154, episodic_return=[2.2207084]
global_step=14184, episodic_return=[4.2539115]
global_step=14214, episodic_return=[2.0575318]
global_step=14244, episodic_return=[6.6807394]
global_step=14274, episodic_return=[6.166774]
global_step=14304, episodic_return=[0.39467433]
global_step=14334, episodic_return=[5.5359626]
SPS: 20
global_step=14364, episodic_return=[8.729804]
global_step=14394, episodic_return=[2.3372426]
global_step=14424, episodic_return=[3.9441965]
global_step=14454, episodic_return=[3.0249934]
global_step=14484, episodic_return=[7.194135]
global_step=14514, episodic_return=[3.6394515]
global_step=14544, episodic_return=[4.2450013]
global_step=14574, episodic_return=[3.6383126]
global_step=14604, episodic_return=[3.3551316]
global_step=14634, episodic_return=[5.3907676]
global_step=14664, episodic_return=[4.2932425]
global_step=14679, episodic_return=[2.8713152]
global_step=14709, episodic_return=[4.7465243]
global_step=14739, episodic_return=[5.1239834]
global_step=14769, episodic_return=[7.5246243]
global_step=14775, episodic_return=[1.205432]
global_step=14805, episodic_return=[4.1881504]
global_step=14835, episodic_return=[3.041534]
global_step=14865, episodic_return=[2.5627484]
global_step=14895, episodic_return=[4.237223]
global_step=14925, episodic_return=[3.11061]
global_step=14955, episodic_return=[4.946847]
global_step=14985, episodic_return=[6.7227345]
global_step=15015, episodic_return=[4.6354904]
global_step=15045, episodic_return=[6.3495216]
global_step=15075, episodic_return=[2.814491]
global_step=15105, episodic_return=[4.695595]
global_step=15123, episodic_return=[3.1006403]
global_step=15153, episodic_return=[4.106957]
global_step=15183, episodic_return=[6.109904]
global_step=15205, episodic_return=[5.4146748]
global_step=15235, episodic_return=[5.671204]
global_step=15265, episodic_return=[3.9825196]
global_step=15295, episodic_return=[1.9697604]
global_step=15325, episodic_return=[4.856592]
global_step=15355, episodic_return=[2.0234718]
global_step=15385, episodic_return=[2.7394805]
global_step=15415, episodic_return=[5.860554]
global_step=15445, episodic_return=[2.83551]
global_step=15475, episodic_return=[5.644924]
global_step=15505, episodic_return=[0.98697144]
global_step=15535, episodic_return=[4.367212]
global_step=15565, episodic_return=[6.2398815]
global_step=15595, episodic_return=[2.5243533]
global_step=15608, episodic_return=[2.3731256]
global_step=15638, episodic_return=[4.0994873]
global_step=15668, episodic_return=[3.2919087]
global_step=15698, episodic_return=[3.3550508]
global_step=15709, episodic_return=[1.2353665]
global_step=15739, episodic_return=[3.6608589]
global_step=15769, episodic_return=[8.212876]
global_step=15799, episodic_return=[6.882869]
global_step=15813, episodic_return=[2.4586465]
global_step=15843, episodic_return=[2.2387037]
global_step=15873, episodic_return=[4.9128428]
global_step=15903, episodic_return=[2.8970592]
global_step=15933, episodic_return=[3.7626944]
global_step=15963, episodic_return=[3.6126168]
global_step=15993, episodic_return=[1.6885455]
global_step=16023, episodic_return=[3.255678]
global_step=16053, episodic_return=[5.3802915]
global_step=16067, episodic_return=[2.5023696]
global_step=16097, episodic_return=[3.1411064]
global_step=16127, episodic_return=[4.0380406]
global_step=16157, episodic_return=[3.8245018]
global_step=16187, episodic_return=[5.3586097]
global_step=16217, episodic_return=[6.079527]
global_step=16247, episodic_return=[3.4961011]
global_step=16255, episodic_return=[0.8926817]
global_step=16285, episodic_return=[5.4546776]
global_step=16315, episodic_return=[3.2293427]
global_step=16345, episodic_return=[3.8225198]
global_step=16375, episodic_return=[4.741637]
SPS: 20
global_step=16405, episodic_return=[8.469347]
global_step=16435, episodic_return=[3.3889985]
global_step=16465, episodic_return=[4.724645]
global_step=16495, episodic_return=[3.6613798]
global_step=16512, episodic_return=[1.7394745]
global_step=16542, episodic_return=[5.7646985]
global_step=16572, episodic_return=[5.8607206]
global_step=16602, episodic_return=[6.251022]
global_step=16632, episodic_return=[4.507902]
global_step=16662, episodic_return=[5.121732]
global_step=16690, episodic_return=[4.731667]
global_step=16720, episodic_return=[4.590353]
global_step=16750, episodic_return=[4.7152805]
global_step=16780, episodic_return=[4.0335746]
global_step=16810, episodic_return=[4.021977]
global_step=16840, episodic_return=[5.2196264]
global_step=16870, episodic_return=[5.7076335]
global_step=16900, episodic_return=[3.9512806]
global_step=16914, episodic_return=[1.6072847]
global_step=16944, episodic_return=[4.945362]
global_step=16974, episodic_return=[5.095646]
global_step=17004, episodic_return=[6.614949]
global_step=17034, episodic_return=[5.111639]
global_step=17064, episodic_return=[8.139981]
global_step=17094, episodic_return=[8.041336]
global_step=17124, episodic_return=[2.7719786]
global_step=17154, episodic_return=[5.2066984]
global_step=17184, episodic_return=[5.575316]
global_step=17214, episodic_return=[4.5386734]
global_step=17244, episodic_return=[6.605072]
global_step=17274, episodic_return=[7.803252]
global_step=17304, episodic_return=[5.5239244]
global_step=17334, episodic_return=[5.103696]
global_step=17364, episodic_return=[10.166894]
global_step=17394, episodic_return=[5.861492]
global_step=17424, episodic_return=[5.2300944]
global_step=17454, episodic_return=[4.396018]
global_step=17465, episodic_return=[3.4148307]
global_step=17495, episodic_return=[3.2192721]
global_step=17525, episodic_return=[5.174034]
global_step=17555, episodic_return=[2.626134]
global_step=17585, episodic_return=[6.246019]
global_step=17615, episodic_return=[6.8859076]
global_step=17645, episodic_return=[2.4577913]
global_step=17675, episodic_return=[6.618665]
